iban,date,currency,category,amount
PL31 8702 1499 7847 1474 7733 2593,2025-01-10,PLN,Salary,10000.00
PL31 8702 1499 7847 1474 7733 2594,2025-01-10,PLN,Rent - apt,-5000.00
PL31 8702 1499 7847 1474 7733 2598,2025-01-10,PLN,Food,-50.00
PL31 8702 1499 7847 1474 7733 2598,2025-01-11,PLN,Food,-15.01
PL31 8702 1499 7847 1474 7733 2590,2025-01-13,PLN,Fuel,-254.40
PL31 8702 1499 7847 1474 7733 2596,2025-01-16,PLN,Pharmacy,-110.00
PL31 8702 1499 7847 1474 7733 2588,2025-01-16,PLN,Rent - garage,-250.00
PL31 8702 1499 7847 1474 7733 2592,2025-01-20,PLN,Beauty,-600.00
PL31 8702 1499 7847 1474 7733 2590,2025-01-24,PLN,Fuel,-155.30
PL31 8702 1499 7847 1474 7733 2591,2025-01-27,PLN,Restaurant,-150.00
PL31 8702 1499 7847 1474 7733 2598,2025-01-28,PLN,Food,-675.11
